pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
41,40,3441,227,Female,44,Junior high school or below,han,1.0,0,38000.0,98500.0,Urban,4.0,3.0,3.0,3.0,2.0,1,1.0,18.0,0.0,85.0,74.0
3423,3422,3457,310,Male,30,4-year college/Bachelor's degree or above,han,0.0,1,0.0,17200.0,Urban,3.0,4.0,3.0,3.0,0.5,1,3.0,5.0,0.0,54.0,89.0
3422,3423,3457,310,Female,31,3-year college,han,0.0,1,37100.0,17200.0,Urban,3.0,2.0,1.0,3.0,0.5,1,4.0,5.0,0.0,76.0,89.0
3836,3105,3461,3,Female,27,4-year college/Bachelor's degree or above,,1.0,0,65000.0,37500.0,Urban,5.0,3.0,1.0,3.0,0.0,1,3.0,1.0,0.0,90.0,48.0
3105,3836,3461,3,Male,27,3-year college,,0.0,0,0.0,37500.0,Urban,5.0,1.0,5.0,2.0,0.0,1,3.0,0.0,0.0,59.0,60.0
8280,3109,3478,51,Male,40,Senior high school/secondary school/tec,han,1.0,2,0.0,10132.0,Rural,5.0,3.0,5.0,4.0,1.0,1,3.0,6.0,1.0,70.0,70.0
3109,8280,3478,51,Female,35,Junior high school or below,han,1.0,2,20000.0,10132.0,Rural,5.0,5.0,5.0,2.0,2.0,1,1.0,6.0,1.0,70.0,70.0
3113,7009,3485,33,Male,29,4-year college/Bachelor's degree or above,han,0.0,1,0.0,18700.0,Urban,5.0,5.0,5.0,5.0,2.0,1,3.0,2.0,1.0,58.0,58.0
7009,3113,3485,33,Female,28,4-year college/Bachelor's degree or above,,0.0,1,18000.0,18700.0,Urban,4.0,4.0,4.0,3.0,2.0,1,3.0,2.0,1.0,58.0,58.0
3136,6614,3524,114,Male,29,3-year college,han,0.0,0,0.0,22800.0,Urban,5.0,3.0,5.0,5.0,0.0,1,5.0,4.0,0.0,52.0,65.0
6614,3136,3524,114,Female,26,3-year college,,0.0,0,1300.0,22800.0,Urban,4.0,5.0,3.0,5.0,2.0,1,5.0,2.0,0.0,52.0,65.0
6673,6672,3525,9,Female,34,Junior high school or below,han,1.0,3,5000.0,25000.0,Urban,5.0,5.0,5.0,5.0,2.0,1,1.0,2.0,1.0,58.0,58.0
6672,6673,3525,9,Male,34,Junior high school or below,han,1.0,3,0.0,25000.0,Urban,5.0,5.0,5.0,5.0,0.5,1,5.0,2.0,1.0,58.0,58.0
9903,3145,3544,139,Female,25,Junior high school or below,,1.0,1,1500.0,400.0,Urban,5.0,5.0,1.0,2.0,2.0,1,2.0,1.0,0.0,62.0,89.0
3145,9903,3544,139,Male,29,Junior high school or below,han,0.0,1,0.0,400.0,Urban,5.0,4.0,5.0,5.0,1.0,1,4.0,1.0,0.0,54.0,74.0
3172,3171,3589,297,Female,30,Senior high school/secondary school/tec,han,0.0,1,75200.0,40000.0,Urban,4.0,4.0,3.0,3.0,1.0,1,3.0,2.0,0.0,55.0,89.0
3171,3172,3589,297,Male,30,3-year college,,0.0,1,0.0,40000.0,Urban,4.0,5.0,2.0,3.0,3.0,1,5.0,2.0,0.0,56.0,89.0
3181,3182,3616,299,Male,33,4-year college/Bachelor's degree or above,han,0.0,1,0.0,66666.66,Urban,4.0,4.0,4.0,3.0,0.5,1,1.0,3.0,0.0,54.0,68.0
3182,3181,3616,299,Female,33,4-year college/Bachelor's degree or above,han,0.0,1,70000.0,66666.66,Urban,5.0,5.0,5.0,3.0,2.0,1,3.0,3.0,0.0,76.0,89.0
3245,3247,3735,302,Male,37,Senior high school/secondary school/tec,han,0.0,1,0.0,58000.0,Urban,5.0,5.0,5.0,4.0,2.0,1,3.0,14.0,1.0,69.0,69.0
3247,3245,3735,302,Female,36,Senior high school/secondary school/tec,han,0.0,1,40000.0,58000.0,Urban,5.0,4.0,5.0,3.0,0.5,1,3.0,14.0,1.0,69.0,69.0
3264,3263,3749,302,Female,29,Junior high school or below,han,1.0,1,3000.0,303333.3,Urban,4.0,3.0,4.0,1.0,2.0,1,1.0,7.0,1.0,59.0,59.0
3263,3264,3749,302,Male,33,Senior high school/secondary school/tec,han,0.0,1,0.0,303333.3,Urban,3.0,3.0,4.0,3.0,1.0,1,1.0,7.0,1.0,59.0,59.0
3299,3298,3787,305,Female,30,Junior high school or below,han,1.0,1,48600.0,19200.0,Urban,4.0,2.0,1.0,1.0,2.0,1,3.0,9.0,1.0,53.0,53.0
3298,3299,3787,305,Male,32,Junior high school or below,han,1.0,1,0.0,19200.0,Urban,4.0,5.0,5.0,3.0,0.5,1,4.0,9.0,1.0,53.0,53.0
