pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
6986,6985,945,309,Female,38,3-year college,han,0,1,,,Urban,4,5,3,1,3,0,1,11,0,,
6985,6986,945,309,Male,39,3-year college,han,0,1,,,Urban,4,3,4,4,0,0,4,11,0,,
909,587,951,231,Male,32,Senior high school/secondary school/tec,.,,1,,10786.67,Urban,,,,,0,0,,3,0,,
587,909,951,231,Female,27,Junior high school or below,.,1,1,,10786.67,Urban,5,5,3,4,2,0,1,3,0,,
9862,910,952,139,Female,31,4-year college/Bachelor's degree or above,.,,1,,30000,Rural,,,,,4,0,,2,1,66,66
910,9862,952,139,Male,32,4-year college/Bachelor's degree or above,.,,1,,30000,Rural,,,,,2,0,,2,1,66,66
12230,912,958,71,Female,26,Senior high school/secondary school/tec,.,1,1,,16666.67,Urban,,,,,1,0,,2,0,,
912,12230,958,71,Male,30,Junior high school or below,.,,1,,16666.67,Urban,,,,,0,0,,2,0,,
915,916,967,276,Female,49,Junior high school or below,han,1,2,,13537.5,Rural,4,4,4,4,3,0,4,17,0,,
916,915,967,276,Male,49,Senior high school/secondary school/tec,han,1,2,,13537.5,Rural,4,3,4,4,2,0,4,17,0,,
918,917,968,276,Male,49,Junior high school or below,han,1,2,,8996.667,Rural,5,5,5,5,3,0,5,24,0,,
917,918,968,276,Female,49,Junior high school or below,han,1,2,,8996.667,Rural,5,5,5,4,6,0,4,24,0,,
921,922,970,276,Male,43,Senior high school/secondary school/tec,han,1,1,,10435.33,Rural,5,4,2,4,1,0,2,18,0,,
922,921,970,276,Female,41,Junior high school or below,han,1,1,,10435.33,Rural,5,3,2,5,3,0,3,18,0,,
934,933,980,276,Male,45,Junior high school or below,han,1,2,,11038,Rural,4,5,5,5,1,0,3,15,1,62,62
933,934,980,276,Female,40,Junior high school or below,han,1,2,,11038,Rural,5,5,3,3,0,0,3,15,1,62,62
936,935,983,276,Female,31,Junior high school or below,han,1,1,,6641,Rural,5,5,4,3,2,0,3,5,1,56,56
935,936,983,276,Male,30,Senior high school/secondary school/tec,han,1,1,,6641,Rural,5,5,4,3,0,0,3,5,1,56,56
939,940,986,276,Female,41,Junior high school or below,han,1,1,,34100,Rural,4,4,4,5,3,0,4,18,0,,
940,939,986,276,Male,43,Junior high school or below,han,1,1,,34100,Rural,5,3,3,5,1,0,5,18,0,,
942,941,988,276,Female,41,Junior high school or below,han,1,1,,913.3333,Rural,5,4,3,5,2,0,5,18,0,,
941,942,988,276,Male,44,Junior high school or below,han,1,1,,913.3333,Rural,5,5,5,3,1,0,5,18,0,,
946,945,991,276,Male,46,Junior high school or below,han,1,1,,8666.667,Rural,5,5,5,3,2,0,3,19,0,,
945,946,991,276,Female,44,Junior high school or below,han,1,1,,8666.667,Rural,5,3,4,5,3,0,5,19,0,,
948,947,993,276,Female,36,Junior high school or below,han,0,2,,363.3333,Rural,5,5,4,4,3,0,3,3,1,62,62
947,948,993,276,Male,37,Senior high school/secondary school/tec,han,1,2,,363.3333,Rural,5,4,5,4,0,0,3,3,1,62,62
951,952,997,276,Female,46,Junior high school or below,han,1,1,,26666.67,Rural,4,3,2,5,4,0,3,22,0,,
952,951,997,276,Male,46,Junior high school or below,han,1,1,,26666.67,Rural,5,4,5,5,0,0,5,22,0,,
960,959,1001,276,Male,41,Senior high school/secondary school/tec,han,0,1,,3000,Urban,4,3,4,3,0,0,3,17,0,,
959,960,1001,276,Female,42,Junior high school or below,han,1,1,,3000,Urban,5,5,5,5,4,0,5,17,0,,
969,970,1009,276,Male,49,Junior high school or below,han,1,2,,8936.667,Rural,5,1,5,5,1,0,1,17,,,
970,969,1009,276,Female,49,Junior high school or below,han,1,2,,8936.667,Rural,5,5,5,5,4,0,5,17,,,
975,976,1013,276,Female,42,Junior high school or below,han,1,1,,33333.33,Rural,4,5,1,2,3,0,3,13,0,,
976,975,1013,276,Male,42,Junior high school or below,han,1,1,,33333.33,Rural,4,5,5,3,1,0,3,13,0,,
979,980,1015,276,Male,44,Junior high school or below,han,1,2,,5260,Rural,4,5,5,5,2,0,1,21,,,
980,979,1015,276,Female,48,Junior high school or below,han,1,2,,5260,Rural,1,5,5,5,1,0,5,21,,,
986,985,1020,276,Male,39,Junior high school or below,han,0,2,,6860,Rural,5,5,5,5,1,0,1,9,1,57,57
985,986,1020,276,Female,39,Junior high school or below,han,1,2,,6860,Rural,5,5,5,3,2,0,1,9,1,57,57
988,987,1021,276,Female,41,Junior high school or below,han,1,1,,12433.33,Rural,3,4,1,4,3,0,3,19,0,,
987,988,1021,276,Male,40,Junior high school or below,han,0,1,,12433.33,Rural,5,5,5,2,1,0,3,19,0,,
996,997,1028,276,Female,38,Junior high school or below,han,1,2,,1840,Rural,5,5,4,4,4,0,4,5,1,63,63
997,996,1028,276,Male,40,Senior high school/secondary school/tec,han,1,2,,1840,Rural,5,5,5,3,1,0,2,5,1,63,63
1007,1006,1036,273,Male,44,Junior high school or below,.,1,2,,3450,Rural,5,3,3,5,0,0,5,16,0,,
1006,1007,1036,273,Female,43,Junior high school or below,.,1,2,,3450,Rural,5,5,3,3,1,0,3,16,0,,
1009,1008,1037,273,Male,43,Junior high school or below,han,1,2,,9700,Rural,,,,,,0,,19,0,,
1008,1009,1037,273,Female,40,Junior high school or below,han,1,2,,9700,Rural,3,3,3,5,2,0,3,19,0,,
1014,1015,1047,273,Female,48,Junior high school or below,han,1,2,,5125,Rural,5,5,5,5,5,0,2,14,0,,
1015,1014,1047,273,Male,46,Junior high school or below,han,1,2,,5125,Rural,5,5,5,5,1,0,1,14,0,,
1017,1016,1048,273,Female,42,Junior high school or below,han,1,2,,10325,Rural,4,2,1,5,3,0,5,20,0,,
1016,1017,1048,273,Male,44,Junior high school or below,han,1,2,,10325,Rural,3,4,4,3,3,0,3,20,0,,
1019,1018,1051,273,Female,48,Junior high school or below,han,1,1,,3333.333,Rural,5,3,5,5,2,0,3,22,0,,
1018,1019,1051,273,Male,46,Junior high school or below,han,1,1,,3333.333,Rural,3,3,3,3,1,0,3,22,0,,
1020,1021,1058,273,Male,36,Junior high school or below,han,1,2,,1250,Rural,4,5,5,3,0,0,1,6,0,,
1021,1020,1058,273,Female,34,Junior high school or below,han,1,2,,1250,Rural,5,2,3,5,1,0,5,6,0,,
1026,1027,1073,273,Female,38,Junior high school or below,han,1,2,,10733.33,Urban,3,4,5,1,3,0,1,15,0,,
1027,1026,1073,273,Male,42,Junior high school or below,han,1,2,,10733.33,Urban,5,5,5,5,4,0,5,15,0,,
1031,1030,1077,278,Male,50,Senior high school/secondary school/tec,han,1,3,,14077.14,Rural,5,5,5,5,1,0,5,20,1,74,74
1030,1031,1077,278,Female,49,Junior high school or below,han,1,3,,14077.14,Rural,5,4,3,1,3,0,1,20,1,74,74
1035,1034,1081,278,Female,34,Junior high school or below,han,1,2,,12323.33,Rural,5,4,5,5,4,0,4,5,1,64,64
1034,1035,1081,278,Male,37,Junior high school or below,han,1,2,,12323.33,Rural,5,3,3,5,1,0,5,5,1,64,64
1037,1036,1082,278,Female,28,Junior high school or below,han,1,2,,16375,Rural,5,3,4,5,6,0,5,1,1,65,65
1036,1037,1082,278,Male,30,Senior high school/secondary school/tec,han,1,2,,16375,Rural,5,4,4,3,0,0,4,1,1,65,65
1040,1038,1085,278,Female,37,Junior high school or below,han,1,2,,9240,Rural,3,5,5,4,3,0,3,11,1,59,59
1038,1040,1085,278,Male,38,Junior high school or below,han,1,2,,9240,Rural,5,5,5,5,3,0,3,11,1,59,59
1043,1042,1088,278,Female,42,Junior high school or below,han,1,2,,8037.143,Rural,3,5,2,4,3,0,5,21,1,72,72
1042,1043,1088,278,Male,44,Junior high school or below,han,1,2,,8037.143,Rural,5,5,5,3,2,0,3,21,1,72,72
1044,1045,1091,278,Male,34,Senior high school/secondary school/tec,han,1,2,,2570,Rural,5,5,5,5,1,0,5,3,0,,
1045,1044,1091,278,Female,34,Junior high school or below,han,1,2,,2570,Rural,5,5,4,5,3,0,5,3,0,,
1048,1049,1094,278,Male,43,Junior high school or below,han,1,2,,6866.667,Rural,3,4,4,4,2,0,3,14,0,,
1049,1048,1094,278,Female,39,Junior high school or below,han,1,2,,6866.667,Rural,3,3,4,5,3,0,5,14,0,,
1052,1053,1103,278,Male,46,Junior high school or below,han,1,2,,8096,Rural,2,3,3,5,0.5,0,4,21,1,71,71
